編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,資料量,下載次數,主要欄位
55,臺北市愛心餐食-老人共餐,臺北市政府社會局,臺北市政府,社會局,109,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期
56,臺北市愛心餐食-愛心餐食補給站,臺北市政府社會局,臺北市政府,社會局,12,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期
57,臺北市兒童與少年服務-臺北市兒童福利服務中心,臺北市政府社會局,臺北市政府,社會局,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期
58,臺北市嬰幼兒照顧服務-公辦民營托嬰中心,臺北市政府社會局,臺北市政府,社會局,15,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期
59,臺北市身心障礙者服務-早期療育社區資源中心,臺北市政府社會局,臺北市政府,社會局,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期
60,臺北市身心障礙者服務-早療訓練機構,臺北市政府社會局,臺北市政府,社會局,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期
61,臺北市身心障礙者服務-早療通報轉介中心,臺北市政府社會局,臺北市政府,社會局,1,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期
62,臺北市身心障礙者服務-早療醫療資源,臺北市政府社會局,臺北市政府,社會局,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期
63,臺北市身心障礙者服務-身心障礙福利機構,臺北市政府社會局,臺北市政府,社會局,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期
64,臺北市政府違反勞動基準法事業單位及事業主公布總表,臺北市政府勞動局,臺北市政府,勞動局,3935,,"公告日期；
處分日期；
處分字號；
事業單位名稱/自然人姓名；
事業單位代表人；
違反勞動基準法條款；
違反法規內容；
備註；"
65,市政網站整合平台之常見問答,臺北市政府資訊局,臺北市政府,資訊局,71,,市政網站整合平台之常見問答主要欄位說明
66,市政網站整合平台之最新消息,臺北市政府資訊局,臺北市政府,資訊局,823,,市政網站整合平台之最新消息主要欄位說明
67,學習型機構,臺北市政府教育局,臺北市政府,教育局,404,,學習型機構主要欄位說明
68,臺北市已立案宗教團體點位資料,臺北市政府民政局,臺北市政府,民政局,534,,"編號(SNO),類別(RELIGION_TYPE),名稱(CB_NAME),簡稱(CB_SNAME),行政區(ptname1),里(v_name),教別(CB_REG_TITLE),負責人(CB_PRESIDENT_NAME),電話(CB_TEL),地址(total_addr),路街(R_STREET),段(R_SECTION),巷(R_LANE),弄(R_ALLEY),號(R_NO),地址-其他(R_OTHER),坐標(X),坐標(Y),祭典日期(DATA_STR),證號(REG_NO)"
69,臺北市列管營業場所消防安全檢查結果,臺北市政府消防局,臺北市政府,消防局,26337,,"場所名稱,場所地址,場所用途,最近檢查日期,大隊,列管單位,經度,緯度,檢查結果"
70,臺北市政府燃氣熱水器承裝業名冊,臺北市政府消防局,臺北市政府,消防局,218,,serial_number(序號)、name(承裝業名稱)、register_number(營業之登記字號(北市消承字號))、company_tax_ID(統一編號)、register_address(公司或商業登記地址)、business_address (營業場所地址)、telephone (連絡電話)、the_name_of_responsiable_person(負責人姓名)、release_date_of_license(發證日期)等
71,臺北市開放認養動物,臺北市動物保護處,臺北市政府,動物保護處,201,,Name(名稱)、Sex(性別)、Type(動物種類)、Build(體型)、Age(年齡)、Variety(品種)、Reason(進所原因)、AcceptNum(收容編號)、ChipNum(晶片號碼)、IsSterilization(絕育否)、HairType(毛色)、Note(描述)、Resettlement(位置)、Phone(聯絡電話)、Email(聯絡email)、ChildreAnlong(可否與其他孩童相處)、AnimalAnlong(可否與其他動物相處)、Bodyweight(體重)、ImageName(圖片)
72,臺北市垃圾清運點位資訊,臺北市政府環境保護局,臺北市政府,環保局,4056,,發布單位、名稱、內容、經度、緯度、更新時間
73,臺北市企業營運總部分布圖,臺北市政府產業發展局,臺北市政府,產業發展局,92,,企業名稱、公司地址、產業類別、座標(TWD97)、認定函效期
74,臺北市加油站及加氣站分布圖,臺北市政府產業發展局,臺北市政府,產業發展局,78,,行政區、名稱、站名、供油廠商、地址、電話、營業時間、加油站、加氣站、座標(TWD97)
75,臺北市登記工廠分佈圖及基本資料,臺北市政府產業發展局,臺北市政府,產業發展局,1202,,編號、工廠名稱、地址、座標(TWD97)、負責人
76,臺北市公用天然氣導管承裝業業者,臺北市政府產業發展局,臺北市政府,產業發展局,38,,承裝業名稱、證號、營利事業統一編號、營業地址、負責人姓名、核准日期/文號
77,臺北市電器承裝業業者,臺北市政府產業發展局,臺北市政府,產業發展局,858,,"承裝業名稱,證號,營利事業統一編號,營業地址、負責人姓名、核設日期/文號"
78,臺北市自來水管承裝商業者,臺北市政府產業發展局,臺北市政府,產業發展局,505,,承裝商名稱、證號、營業地址、負責人姓名
79,臺北市停水資訊-(大臺北地區),臺北自來水事業處,臺北市政府,,17,,"SW_No：停水案件系統代碼、FS_Date：預定開始停水日期、FC_Date：預定最後通水日期、SW_Area：停水區域、Description：停水通知內容、PubDate：公告日期、StopWaterSection_twd97：停水區域(採TWD97座標，以WKT表示)、StopWaterSection_twd97_wgs84(採WGS84座標，以WKT表示)：
"
80,翡翠水庫水質資料,臺北翡翠水庫管理局,臺北市政府,翡翠水庫管理局,39,,時間、總磷、??素a、透明?、藻??、卡爾森優養指數、水庫水質優養指標
81,臺北市公司登記報表,臺北市商業處,臺北市政府,商業處,82.5K,,行政區、行業別、組織別
82,提高女性主管比例,臺北市政府人事處,臺北市政府,人事處,,,如附表
83,臺北市政府建設公債還本付息兌付統計表,臺北市政府財政局,臺北市政府,財政局,14,,債券代號及名稱、核定發行額、實際發行額、利率(%)、期限、還本方式、付息方式、應兌付本息、已兌付本金、已兌付利息、未兌付本金、未兌付利息
84,臺北市政府發行建設公債還本付息統計表,臺北市政府財政局,臺北市政府,財政局,1,,臺北市建設公債各年度應還本息數額表
85,臺北市垃圾清運路線圖,臺北市政府環境保護局,臺北市政府,環保局,4056,,區(Region)、里(Li)、分隊(DepName)、車號(CarNo)、車次(CarNumber)、時間(CarTime)、地址(Address)、經度(Lng)、緯度(Lat)
86,臺北市垃圾資源回收、廚餘回收限時收受點,臺北市政府環境保護局,臺北市政府,環保局,52,,"臺北市垃圾資源回收、廚餘回收限時收受點：Region(行政區)、Branch(限時指定收受點)、Phone(電話)、Address(地址)、Memo(備註)、Lng(經度)、Lat(緯度)
臺北市週三、週日廚餘專用限時收受點：Region(行政區)、Branch(分隊別)、Address(限時收受點地址)、Memo(備註)、Lng(經度)、Lat(緯度)"
87,臺?市娛?稅稅源,臺北市稅捐稽徵處,臺北市政府,稅捐稽徵處,,,項目別、申報家(件)?、查定家(件)?、營業總額、報繳( 查定) 稅額、實徵稅額
88,臺北市政府財政局辦理市有非公用土地設定地上權案(已簽約)一覽表,臺北市政府財政局,臺北市政府,財政局,12,,"案名
地號
基地面積（㎡）
土地管理機關
承租人
招標年度
決標權利金  (億元)
簽約日期
地上權    存續期間
承租用途及戶數(商場/辦公室/住宅等)
104年地租  (億元)
現況"
89,臺北市救護車資料,臺北市政府衛生局,臺北市政府,衛生局,77,,標題、類別、聯絡電話、顯示用地址、系統辨識用地址
90,臺北市急救責任醫院,臺北市政府衛生局,臺北市政府,衛生局,21,,"title(醫院名稱), address_for_display(顯示用地址),address_for_system(系統辨識用地址) telephone(電話)"
91,臺北市精神醫療院所,臺北市政府衛生局,臺北市政府,衛生局,,,"title(標題), address_for_display(顯示用地址), telephone(電話)"
92,臺北市精神科診所,臺北市政府衛生局,臺北市政府,衛生局,41,,"title(標題), address_for_display(顯示用地址), telephone(電話)"
93,臺北市康復之家,臺北市政府衛生局,臺北市政府,衛生局,50,,"title(標題), address_for_display(顯示用地址), telephone(電話)"
94,臺北市產後護理之家,臺北市政府衛生局,臺北市政府,衛生局,63,,標題、類別、連絡電話、顯示用地址、系統辨識用地址
95,臺北市各公園水域安全告示牌及救生設備位置資訊,臺北市政府工務局公園路燈工程管理處,臺北市政府,工務局,150,,臺北市政府工務局公園路燈工程管理處所轄公園內水池及湖畔水域安全告示及救生設備座標位置
96,田園城市點位圖資,臺北市政府工務局公園路燈工程管理處,臺北市政府,工務局,325,,基地分類、行政區、基地是否可以申請、現行狀態、耕作面積(平方公尺)、經度、緯度、標題、圖片、地點、上架日期、下架日期、使用期間(起)、使用期間(迄)、內文、耕作方式
97,實價周報,臺北市政府地政局,臺北市政府,地政局,1617,,成交案件類型(CASE_T)、行政區(DISTRICT)、交易標的/租賃標的(CASE_F)、土地區段位置或建物區門牌(LOCATION)、土地移轉總面積(坪)/土地租賃總面積(坪)(LANDA)、都市土地使用分區(LANDA_Z)、交易年月(SDATE)、交易筆棟數/租賃筆棟數(SCNT)、移轉層次(SBUILD)、總樓層數(TBUILD)、建物型態(BUITYPE)、主要用途(PBUILD)、主要建材(MBUILD)、建築完成年月(FDATE)、建物移轉總面積(坪)/租賃總面積(坪)(FAREA)、建物現況格局_房(BUILD_R)、建物現況格局_廳(BUILD_L)、建物現況格局_衛(BUILD_B)、建物現況格局_隔間(BUILD_P)、有無管理組織(RULE)、有無附傢俱(BUILD_C)、交易總價(萬元)/租賃總價(萬元)(TPRICE)、交易單價(萬元/坪)/租賃單價(元/坪)(UPRICE)、單價是否含車位(UPNOTE)、車位類別及數量(PARKTYPE)、車位移轉總面積(坪)/車位租賃總面積(坪)(PAREA)、車位移轉總價(萬元)/車位租賃總價(元)(PPRICE)、備註(RMNOTE)
98,臺北市老人健康檢查特約醫院,臺北市政府衛生局,臺北市政府,衛生局,31,,"name(醫院名稱),address_for_display(顯示用地址), address_for_system(系統辨識用地址),telephone(電話)"
99,三高篩檢,臺北市政府衛生局,臺北市政府,衛生局,6,,篩檢人數、異常人數、異常率、完成追蹤人數、完成追蹤率、確認新案人數
100,臺北市健康促進醫院,臺北市政府衛生局,臺北市政府,衛生局,20,,"title(標題), address_for_display(顯示用地址), telephone(電話)"
101,臺北市再生家具,臺北市政府環境保護局,臺北市政府,環保局,1017,,"臺北市再生家具：縮圖網址、照片網址、物品類別、地點、地址、經度、緯度；
再生家具相關資訊：地點、參觀時間、拍賣時間、聯絡電話、地址、備註"
102,臺北市專用垃圾袋代售點名冊,臺北市政府環境保護局,臺北市政府,環保局,2324,,"連鎖：序號,店名,地址,電話
傳統：家數,廠商名稱,行政區域,地址,電話"
103,臺北市政府財政局經管市有非公用閒置土地清冊,臺北市政府財政局,臺北市政府,財政局,28,,"地號
列管面積
都市計畫使用分區
使用現況
使用（認養/維護）單位
預定處理方式
目前處理情形說明"
104,臺北市路燈桿旗幟申請參考一覽表,臺北市政府環境保護局,臺北市政府,環保局,328筆,,路段、同時間核可活動數量、已核可活動及時間
105,優惠商店,臺北市政府人事處,臺北市政府,人事處,698筆,,公務福利ｅ化平台提供優惠商店名稱、地址、電話、優惠內容、優惠起日、優惠訖日及承辦單位等資訊。
106,臺北市核准身障福利團體設置舊衣回收箱,臺北市政府環境保護局,臺北市政府,環保局,1057,,"核准編號,團體名稱,電話,行政區,臺北市核准地點,備註,經度,緯度"
107,臺北市警政統計查詢系統,臺北市政府警察局,臺北市政府,警察局,104表,,統計期、統計項目、統計資料、資料來源、附註、更新日期。
108,臺北市政府環境保護局12區清潔隊、溝渠清理第一、二隊及直屬清潔隊聯絡資訊一覽表,臺北市政府環境保護局,臺北市政府,環保局,15,,"單位,聯絡電話,傳真,地址"
109,臺北市行人專用清潔箱,臺北市政府環境保護局,臺北市政府,環保局,1760,,行政區、路名、段、號及其他註明、經度、緯度、備註
110,大直旗下防溺告示牌及救生圈位置,臺北市政府體育局,臺北市政府,體育局,,,座標及照片
111,房屋地段等級表,臺北市稅捐稽徵處,臺北市政府,稅捐稽徵處,,,行政區域、街路名稱、段數、起迄點、調整率%
112,臺北市居家護理院所,臺北市政府衛生局,臺北市政府,衛生局,39,,機構名稱、地址、電話
113,臺北市公車路線圖,臺北市公共運輸處,臺北市政府,公共運輸處,13381,,路線編號、路線名稱
114,臺北市公車站牌位置圖,臺北市公共運輸處,臺北市政府,公共運輸處,28153,,站牌編號、站牌中文名稱、座標(TWD97)
115,臺北市政府衛生局EIS指標報表,臺北市政府衛生局,臺北市政府,衛生局,,,"序號,單位,指標編號,指標定義,單位,累計目標數,累計執行數,累計執行率"
116,臺北市政府警察局名稱及地址,臺北市政府警察局,臺北市政府,警察局,114,,標題、內容、交通資訊、顯示用地址、系統辨識用地址
117,違反身心障礙者權益保障法第38條規定未足額進用名單,臺北市勞動力重建運用處,臺北市政府,勞動局,734,,本名單係採用勞動部勞動力發展署第四代身心障礙者定額進用資訊管理系統資料，若資料不符請逕與本處業務承辦人辦理更正事宜(電話：02-23381600轉5306、5308)。
118,水域遊憩活動告示牌地點,臺北市政府觀光傳播局,臺北市政府,觀光傳播局,,,臺北市11座水域遊憩告示牌地點
119,衛生局推行性別主流化相關資料,臺北市政府衛生局,臺北市政府,衛生局,,,性別主流化專區
120,移交財政部國有財產署辦理標售一覽表,臺北市政府地政局,臺北市政府,地政局,,,編號、被繼承人姓名/身分證字號、土地/建物標示、土地筆數、建物棟數、備註、簽核
121,囑託登記國有公告清冊,臺北市政府地政局,臺北市政府,地政局,,,序號、鄉鎮市區、段/小段、地/建號、面積、姓名或名稱、住址、權利範圍、囑託登記完畢日期、第二次標售底價金額、備註
122,標售價金保管款清冊,臺北市政府地政局,臺北市政府,地政局,,,編號、鄉鎮市區、段/小段、地/建號、面積、權利範圍、姓名或名稱、住址、標售金額、應納稅賦、行政處理費、地籍清理獎金、保管價金、保管款字號、備註
123,臺北市哺集乳室,臺北市政府衛生局,臺北市政府,衛生局,795,,"(1)臺北市依法應設哺集乳室：名稱、內容、電話、顯示用地址、系統辨識用地址 
(2)友善臺北哺乳室：行政區(DIS)、哺集乳室名稱(BerName)、地址(Address)、開放時間(OpenTime)、電話(Tel)、位置(Position)、備註(Remind)、管理方式(MngType)、基本設備(BasicTag)、友善設備(AdvTag)、照片(Photo)、依法設置/自主設置(buildtype)、場所類別(category)、開放屬性(property)、優良認證效期(certi)、轄區健康服務中心(unit)、轄區健康服務中心電話(contact)、哺集乳室六碼編號(Number)、郵遞區號(Zipcode)、哺集乳室電話分機(Extension) 
(3)友善臺北哺乳室（照片） "
124,臺北市河川水質檢測結果,臺北市政府環境保護局,臺北市政府,環保局,16,,"河川名稱,監測站,經度,緯度,採樣日期,採樣時間,污染程度,RPI,溶氧,生化需氧量,氨氮,懸浮固體"
125,捷運工程局品質管理系統QSOP文件清單,臺北市政府捷運工程局,臺北市政府,捷運工程局,283筆,,"編號
制定單位 
核定日期 
版次
項目名稱
"
126,住宅價格指數,臺北市政府地政局,臺北市政府,地政局,,,指數類別、年月、指數(101年8月為基期)、變動率(%)、標準住宅總價(萬元)及標準住宅單價(萬元/坪)
127,捷運興建中路網施工現況,臺北市政府捷運工程局,臺北市政府,捷運工程局,6筆,,捷運興建中路網施工現況說明
128,捷運興建中路網各線工程進度累計百分比,臺北市政府捷運工程局,臺北市政府,捷運工程局,6筆,,路線名稱   預定進度%   實際進度%
129,臺北市藥局,臺北市政府衛生局,臺北市政府,衛生局,820,,機構名稱、地址
130,房屋標準單價表,臺北市稅捐稽徵處,臺北市政府,稅捐稽徵處,,,構造、用途、單價、總層數
131,臺北市最近5年契稅綜合統計表,臺北市稅捐稽徵處,臺北市政府,稅捐稽徵處,,,"件數、契價、稅額	
"
132,臺北市最近5年房屋稅綜合統計表,臺北市稅捐稽徵處,臺北市政府,稅捐稽徵處,,,戶數、面積、現值、稅額
133,臺北市最近5年土地增值稅稅源統計表,臺北市稅捐稽徵處,臺北市政府,稅捐稽徵處,,,自用住宅用地、一般用地、免稅用地
134,臺北市最近5年地價稅稅源統計表,臺北市稅捐稽徵處,臺北市政府,稅捐稽徵處,,,一般用地、自用住宅用地、勞工宿舍用地、事業直接使用土地、公共設施保留地、空地
135,臺北市立動物園_行事曆,臺北市立動物園,臺北市政府,教育局,3132,,類別、標題、摘要說明、簡介、起始日期、結束日期、時間、地點、WGS84座標系統(WKT格式)、上架日期、下架日期、關鍵字、圖片說明、圖片URL、網頁URL位址、地標、資料更新日期
136,臺北市政府工務局水利工程處防溺告示牌救生圈座標位置,臺北市政府工務局水利工程處,臺北市政府,工務局,167,,臺北市政府工務局水利工程處防溺告示牌救生圈座標位置
137,臺北市實施集中支付近5年庫款支付筆數,臺北市政府財政局,臺北市政府,財政局,5,,"年度、支票存帳筆數、電連存帳筆數、郵寄支票張數、候領支票張數、合計
"
138,臺北市實施集中支付近5年庫款支付金額,臺北市政府財政局,臺北市政府,財政局,5,,"年度、年度預算支付數、應付歲出款支付數、特別預算(含保留數)支付數、應收墊付款、特種基金支付數、保管款支付數、合計
"
139,臺北市實施集中支付近5年支用機關數及各種憑單有效處理件數,臺北市政府財政局,臺北市政府,財政局,5,,年度、支用機關數、付(撥)款憑單、轉帳憑單、支出收回及支票註銷、移轉憑單、繳款書、合計
140,營業場所投保公共意外險清冊,臺北市商業處,臺北市政府,商業處,2236筆,,序號、統一編號、類別、公司/商號名稱、營業地址、保單到期日
141,列管施政計畫執行進度一覽表。,臺北市政府研究發展考核委員會,臺北市政府,研究發展考核委員會,,,機關名稱、計畫編號、計畫名稱及執行進度。
142,臺北捷運系統防洪設計標準,臺北市政府捷運工程局,臺北市政府,捷運工程局,164筆,,"線別
車站/機廠
50年頻率洪水位
100年頻率洪水位
200年頻率洪水位
防洪實際高程"
143,臺北市工會聯合組織名冊,臺北市政府勞動局,臺北市政府,勞動局,15,,"id:序號；
name:工會聯合組織名稱；
address:會址；
telephone：電話。"
144,臺北市政府公務人員訓練處實體班期訓練概況,臺北市政府公務人員訓練處,臺北市政府,公務人員訓練處,208,,實體班期訓練概況統計
145,臺北市瓦斯供氣戶數及供氣量,臺北市政府產業發展局,臺北市政府,產業發展局,4,,公司名稱、供氣戶數、當月供氣量、本年截至上月累計供氣量、年累計供氣量
146,臺北捷運各站進出量統計,臺北大眾捷運股份有限公司,臺北市政府,大眾捷運股份有限公司,18785,,站名、日期、旅運量
147,捷運聯合開發公有不動產非統一經營部分預計出租標的,臺北市政府捷運工程局,臺北市政府,捷運工程局,35,,"捷運線別
基地名稱
使用用途
戶數
坪數分佈
車位
租金分佈
承辦人
承辦人聯絡電話"
148,臺北市文化快遞資訊,臺北市政府文化局,臺北市政府,文化局,657,,"後續欄位說明順序為[欄位,型別,長度,說明]
[ID,INT,4,活動編號，為固定之唯一值(流水號)]
[EventName,Nvarchar,100,活動名稱]
[ShowGroupName,Nvarchar,100,演出單位]
[EventTypeID,INT,4,資料類別]
1.表演萬象
2.展覽廣場
3.音樂現場
4.講座研習
5.電影瞭望
6.城市萬花筒
7.親子活動
8.城外行腳
[DurationStart,datetime,,活動開始時間]
[DurationEnd,datetime,,活動結束時間]
[IsCharge,INT,4,是否免費]
0:否,1:是
[Fee,Nvarchar,100,票價]
[ShoppingUrl,Nvarchar,200,售票網址]
[ContactName,Nvarchar,50,活動連絡人]
[ContactTel,nvarchar,50,活動連絡電話]
[ContactFax,Nvarchar,30,活動傳真電話]
[BriefIntroduction,ntext,,活動簡介]
[vContent,ntext,,活動內容]
[EventUrl,Nvarchar,200,活動網址]
[YouTubeUrl,Nvarchar,200,YouTube影音網址]
[ImageFile,varchar,50,大圖檔案名稱(提供無版權爭議且可對外流通供應之照片，以讓加值業者可透過本網址連結使用)]
[LogoImageFile,varchar,50,小圖檔案名稱(提供無版權爭議且可對外流通供應之照片，以讓加值業者可透過本網址連結使用)]
[InsertTime,Datetime,活動發布時間]
[dtStart,Datetime,,場次起始日期]
[dtEnd,Datetime,,場次結束日期]
[timeStart,Varchar,5,場次開始時間]
[Location,Nvarchar,500,場次地點]
[CityID,Int,4,縣市名]
[AreaID,Int,4,區域名]
[Address,Nvarchar,100,場次地址]
[longitude,Varchar,30,經度]
[latitude,Varchar,30,緯度]

註ㄧ：上述所有欄位若為空值在json格式，輸出資料會以「null」字樣呈現。
註二：上述所有欄位若為空值在xml格式，輸出資料皆不會帶值。"
149,臺北市空氣中總懸浮微粒及落塵量檢驗結果統計,臺北市政府環境保護局,臺北市政府,環保局,,,測站名稱、測站編號、總懸浮微粒(起訖時間、天候、TSP、PM10、正己烷抽出物、氯鹽、硝酸鹽、鉛)、落塵量(起訖日期、數據) 
150,臺北市河川水質,臺北市政府環境保護局,臺北市政府,環保局,64,,河川名稱、監測站(編號)、採樣日期、採樣時間、水體分類等級、水溫、氣溫、pH、溶氧量、生化需氧量、氨氮、硝酸鹽氮、亞硝酸鹽氮、懸浮固體、化學需氧量、鎘、鉻、銅、鉛、鋅、汞、砷、導電度、總磷、濁度、大腸桿菌群、陰離子界面活性劑、氯鹽、總凱氏氮、總氮
151,臺北市環境空氣品質監測結果月報表,臺北市政府環境保護局,臺北市政府,環保局,946,,"一氧化碳：月份,監測項目,監測站,測站編號,有效測定日數(日),測定時數(時),月平均值(ppm),一小時值超過35ppm之時數(時),一小時值超過35ppm之時數(%),連續8小時之平均值超過9ppm次數(次),日平均值超過10ppm日數(日),日平均值超過10ppm日數(%),一小時值之最高值(ppm),一小時值之最高值(發生日),一小時值之最高值(發生時),連續8小時平均值之最高值(ppm),連續8小時平均值之最高值(發生日),連續8小時平均值之最高值(發生時),日平均值之最高值(ppm),日平均值之最高值(發生日期)

二氧化硫：月份,監測項目,監測站,測站編號,有效測定日數(日),測定時數(時),月平均值(ppb),一小時值超過0.25ppm時數(時),一小時值超過0.25ppm時數(%),日平均值超過0.1ppm日數(日),日平均值超過0.1ppm日數(%),一小時值之最高值(ppb),一小時值之最高值(發生日),一小時值之最高值(發生時),日平均值之最高值(ppb),日平均值之最高值(發生日期)

二氧化氮：月份,監測項目,監測站,測站編號,有效測定日數(日),測定時數(時),月平均值(ppb),一小時值超過0.25ppm時數(時),一小時值超過0.25ppm時數(%),一小時值之最高值(ppb),一小時值之最高值(發生日),一小時值之最高值(發生時),日平均值之最高值(ppb),日平均值之最高值(發生日期),月平均值NO2/NO+NO2(%)
非甲烷碳氫化合物：月份,監測項目,監測站,測站編號,測定時數(時),月平均值(ppm),上午6-9時3小時之平均值(ppm),上午6-9時之測定日數(日),上午6至9時3小時平均值最高值ppm,上午6至9時3小時平均值最高值發生日期,上午6至9時3小時平均值最低值ppm,上午6至9時3小時平均值最低值發生日期,上午6至9時3小時平均值超過0.20ppm之日數(日),上午6至9時3小時平均值超過0.20ppm之日數(%),上午6至9時3小時平均值超過0.30ppm之日數(日),上午6至9時3小時平均值超過0.30ppm之日數(%)

臭氧：月份,監測項目,監測站,測站編號,有效測定日數(日),測定時數(時),月平均值(ppb),一小時值超過0.12ppm時數(時),一小時值超過0.12ppm時數(%),八小時平均值超過0.06ppm之次數(次),八小時平均值超過0.06ppm之次數(%),一小時值之最高值(ppb),一小時值之最高值(發生日),一小時值之最高值(發生時),每日一小時值最高值之月平均值(ppb)

懸浮微粒：月份,監測項目,監測站,測站編號,有效測定日數(日),測定時數(時),月平均值μg/m3,一小時值之最高值μg/m3,一小時值之最高值(發生日),一小時值之最高值(發生時),日平均值之最高值μg/m3,日平均值之最高值(發生日期),一小時值超過200μg/m3之小時時數(時),一小時值超過200μg/m3之小時時數(%),日平均值超過125μg/m3之日數(日),日平均值超過125μg/m3之日數(%)"
152,本府一級機關經管公有公用土地清冊(市有),臺北市政府財政局,臺北市政府,財政局,0,,管理機關、標示名稱、宗地面積、持分面積
153,臺北廣播電臺英文節目表,臺北廣播電臺,臺北市政府,觀光傳播局,102,,"channel,week,start_time,end_time,program,DJ
"
154,臺北廣播電臺中文節目表,臺北廣播電臺,臺北市政府,觀光傳播局,113,,"頻道(channel), 星期(week), 開始時間(start_time),結束時間(end_time), 節目(program),主持人(DJ)"
155,臺北市登記家數統計表(依行業別及行政區),臺北市商業處,臺北市政府,商業處,49KB,,行業別、行政區、組織
156,抽籤人數統計表,臺北市政府兵役局,臺北市政府,兵役局,26,,"區別年別,陸軍,海軍艦艇兵,海軍陸戰隊,空軍,常備兵抽籤合計,常備兵抽籤總計,替代役,總計"
